2015,Blossom Espresso ,1-9 Freshwater Place
2015,Blu Fish Cafe,578-606 Bourke Street
2015,Blu Point Caffe,336 Russell Street
2015,Blue Bag,1-9 Freshwater Place
2015,Blue Bag,41-43 Exhibition Street
2015,Blue Planet ,274 City Road
2015,Blue Print Eatery & Bar,222-224 Pelham Street
2015,Blue Sky,7-9 Waratah Place
2015,Bluebag ,185-199 Queen Street
2015,Bluebag,32-54 Lonsdale Street
2015,Bluebag,405-407 Collins Street
2015,Bluebag,535 Little Lonsdale Street
2015,Bluestone Restaurant / Bluestone Downstairs,349-351 Flinders Lane
2015,Bluestone Wine Lounge,487-503 Collins Street
2015,Bluestones 520 Cafe,516-526 Bourke Street
2015,Bluetrain,3 Southgate Avenue
2015,Bobs Steak and Chop House,737-743 Bourke Street
2015,Boccata,28 Freshwater Place
2015,Bohemian Bar & Restaurant,20-30 Convention Centre Place
2015,Bokchoy Tang,2 Swanston Street
2015,Bomba Tapas Bar and Rooftop,103-105 Lonsdale Street
2015,Bombay Duck,269-321 Lonsdale Street
2015,Bon a Manger,1-9 Exhibition Street
2015,Bon a Manger,387 Little Bourke Street
2015,Bon,415-421 St Kilda Road
2015,Boney,68-70 Little Collins Street
2015,Bonnie Coffee Brewers,487-503 Collins Street
2015,Bonnie and Duke Cafe Port Melbourne,262-276 Lorimer Street
2015,Booji Cafe,747-757 Bourke Street
2015,Boost Juice ,467 Elizabeth Street
2015,Boost Juice,207-361 Flinders Street
2015,Boost Juice,344 Lygon Street
2015,Bopha Devi Docklands,37-43 Caravel Lane
2015,Borek Bakehouse,473-481 Elizabeth Street
2015,Bornga,281-287 Swanston Street
2015,Borsari Ristorante,201-203 Lygon Street
2015,Botanical Hotel,161-173 Domain Road
2015,Botica,269-321 Lonsdale Street
2015,Bottega Restaurant,72-74 Bourke Street
2015,Boutique Bistro Bar,122 Lygon Street
2015,Bouverie Deli,22-40 Lincoln Square North
2015,Bowery to Williamsburg,10-20 Oliver Lane
2015,Box On Collins Restaurant,189 Collins Street
2015,Bread & Meat Co,181 William Street
2015,Bread Kingdom,364-372 Lonsdale Street
2015,Bread Top,23-37 Star Crescent
2015,Breadtop Bakery,221 Little Lonsdale Street
2015,Breadtop Docklands,829-843 Bourke Street
2015,Breadtop,55-57 Elizabeth Street
2015,Breslin Bar And Grill,1-9 Southbank Boulevard
2015,Brewer's Place,181 William Street
2015,Brim CC,601-611 Little Collins Street
2015,Brioche By Philip ,97-101 Queen Street
2015,Brioche by Philip,555 Bourke Street
2015,Brioche by Phillip,114-120 Russell Street
2015,Briscola Espresso,159 Pelham Street
2015,Briscola,157 Pelham Street
2015,Broad Bean Organic Grocer,8-10 Kavanagh Street
2015,Broadcast Cafe,150-170 Harbour Esplanade
2015,Brooks of Melbourne,115-119 Collins Street
2015,Brother Baba Budan,353-359 Little Bourke Street
2015,Brother Dough,194-208 Victoria Street
2015,Brother Thomas Coffee,330-352 William Street
2015,Brothi by Joost,115-123 Hardware Street
2015,Brown Bagels,308-336 Collins Street
2015,Brown Sugar Cafe,317-321 Little Collins Street
2015,Brunetti Carlton,368-386 Lygon Street
2015,Brunetti City Square,199-209 Collins Street
2015,Brunetti Myer Melbourne,314-336 Bourke Street
